alpha_deg,mach,reynolds,CL,CD,CM
-5.0,0.1,500000,-0.5491,0.00865,-0.0016
-5.0,0.1,1000000,-0.5456,0.00861,-0.0027
-5.0,0.1,2000000,-0.5519,0.00851,-0.0017
-5.0,0.2,500000,-0.5555,0.00886,-0.0006
-5.0,0.2,1000000,-0.5546,0.00876,-0.0021
-5.0,0.2,2000000,-0.5713,0.00875,-0.0005
-5.0,0.35,500000,-0.5817,0.00902,-0.0011
-5.0,0.35,1000000,-0.5972,0.0089,-0.0011
-5.0,0.35,2000000,-0.5821,0.00887,-0.0012
-5.0,0.5,500000,-0.6276,0.0104,-0.0024
-5.0,0.5,1000000,-0.6288,0.00967,-0.0036
-5.0,0.5,2000000,-0.642,0.0098,-0.0008
-2.0,0.1,500000,-0.2139,0.00607,-0.0023
-2.0,0.1,1000000,-0.2285,0.00632,-0.0032
-2.0,0.1,2000000,-0.2209,0.00651,-0.0025
-2.0,0.2,500000,-0.2198,0.00664,-0.0026
-2.0,0.2,1000000,-0.2289,0.00615,-0.0034
-2.0,0.2,2000000,-0.2213,0.0062,-0.0011
-2.0,0.35,500000,-0.2394,0.00616,-0.0024
-2.0,0.35,1000000,-0.2228,0.00656,-0.0023
-2.0,0.35,2000000,-0.2242,0.00629,-0.0041
-2.0,0.5,500000,-0.2561,0.00746,-0.0042
-2.0,0.5,1000000,-0.2531,0.00716,-0.0033
-2.0,0.5,2000000,-0.2491,0.00718,-0.0011
0.0,0.1,500000,0.005,0.00582,-0.0044
0.0,0.1,1000000,-0.0067,0.0062,-0.0045
0.0,0.1,2000000,-0.0006,0.00604,-0.0046
0.0,0.2,500000,-0.0023,0.00545,-0.0049
0.0,0.2,1000000,-0.0045,0.00603,-0.003
0.0,0.2,2000000,-0.0001,0.0059,-0.0039
0.0,0.35,500000,0.0087,0.00627,-0.0038
0.0,0.35,1000000,-0.0081,0.00618,-0.0037
0.0,0.35,2000000,0.0098,0.00581,-0.0024
0.0,0.5,500000,-0.0029,0.00708,-0.0039
0.0,0.5,1000000,-0.0041,0.00617,-0.0041
0.0,0.5,2000000,0.0114,0.00666,-0.0034
2.0,0.1,500000,0.2002,0.00665,-0.0046
2.0,0.1,1000000,0.2161,0.00616,-0.005
2.0,0.1,2000000,0.2356,0.00595,-0.0053
2.0,0.2,500000,0.2335,0.00631,-0.0053
2.0,0.2,1000000,0.2247,0.00599,-0.0048
2.0,0.2,2000000,0.2156,0.00654,-0.005
2.0,0.35,500000,0.2511,0.00657,-0.0039
2.0,0.35,1000000,0.2238,0.00637,-0.0047
2.0,0.35,2000000,0.2496,0.00581,-0.0042
2.0,0.5,500000,0.2565,0.00763,-0.0044
2.0,0.5,1000000,0.2538,0.00693,-0.006
2.0,0.5,2000000,0.2564,0.00695,-0.0034
5.0,0.1,500000,0.5431,0.0088,-0.0078
5.0,0.1,1000000,0.5481,0.00872,-0.0058
5.0,0.1,2000000,0.5662,0.00857,-0.0074
5.0,0.2,500000,0.5601,0.00894,-0.0061
5.0,0.2,1000000,0.5542,0.00907,-0.0064
5.0,0.2,2000000,0.5688,0.00906,-0.006
5.0,0.35,500000,0.5843,0.00969,-0.0063
5.0,0.35,1000000,0.5832,0.00903,-0.0053
5.0,0.35,2000000,0.59,0.0091,-0.0055
5.0,0.5,500000,0.6254,0.00965,-0.0063
5.0,0.5,1000000,0.6352,0.00994,-0.0058
5.0,0.5,2000000,0.642,0.00977,-0.0061
8.0,0.1,500000,0.8751,0.01247,-0.0076
8.0,0.1,1000000,0.8817,0.01269,-0.0076
8.0,0.1,2000000,0.8912,0.01273,-0.0077
8.0,0.2,500000,0.8984,0.01292,-0.0077
8.0,0.2,1000000,0.8957,0.01381,-0.0095
8.0,0.2,2000000,0.9067,0.01304,-0.0081
8.0,0.35,500000,0.9464,0.0138,-0.0062
8.0,0.35,1000000,0.9333,0.01391,-0.0084
8.0,0.35,2000000,0.937,0.01383,-0.0082
8.0,0.5,500000,1.0089,0.0151,-0.0064
8.0,0.5,1000000,1.012,0.01627,-0.0088
8.0,0.5,2000000,1.0218,0.01672,-0.0087
11.0,0.1,500000,1.1935,0.01891,-0.0091
11.0,0.1,1000000,1.2183,0.01953,-0.0097
11.0,0.1,2000000,1.2073,0.01909,-0.0085
11.0,0.2,500000,1.2279,0.0189,-0.0095
11.0,0.2,1000000,1.2428,0.0202,-0.0091
11.0,0.2,2000000,1.2415,0.01926,-0.0102
11.0,0.35,500000,1.2808,0.02091,-0.009
11.0,0.35,1000000,1.2844,0.0205,-0.0101
11.0,0.35,2000000,1.2867,0.02113,-0.0113
11.0,0.5,500000,1.3823,0.024,-0.0083
11.0,0.5,1000000,1.3939,0.02428,-0.0098
11.0,0.5,2000000,1.3958,0.0239,-0.0083
14.0,0.1,500000,1.5422,0.02733,-0.0083
14.0,0.1,1000000,1.5433,0.02754,-0.0108
14.0,0.1,2000000,1.5511,0.02822,-0.0098
14.0,0.2,500000,1.5468,0.02773,-0.0107
14.0,0.2,1000000,1.5737,0.02762,-0.0128
14.0,0.2,2000000,1.5617,0.02818,-0.0111
14.0,0.35,500000,1.6324,0.02967,-0.012
14.0,0.35,1000000,1.6233,0.0302,-0.0107
14.0,0.35,2000000,1.6573,0.03054,-0.0112
14.0,0.5,500000,1.7735,0.03452,-0.0115
14.0,0.5,1000000,1.7692,0.03464,-0.0127
14.0,0.5,2000000,1.7853,0.03514,-0.0113
