max_camber_pct,camber_pos_pct,thickness_pct,alpha_deg,mach,CL,CD,CM
3.81,51.333,23.22,4.123,0.184,1.0395,0.0102,-0.0009
8.01,39.6,21.06,3.217,0.2907,1.3536,0.00746,-0.0258
6.57,34.267,8.94,-2.337,0.168,0.558,0.00526,-0.0302
8.07,56.667,19.98,7.977,0.4187,1.0887,0.00673,0.0123
4.53,29.733,8.7,-1.883,0.416,0.3304,0.00548,-0.0273
3.69,39.067,11.1,10.243,0.4933,1.3398,0.01274,-0.0179
7.83,30.0,10.98,2.65,0.4587,1.3043,0.0065,-0.0504
2.37,52.667,12.18,7.637,0.3867,1.2935,0.01508,-0.0026
2.43,28.667,9.54,-1.09,0.136,0.1745,0.00557,-0.0158
2.31,24.933,16.5,11.943,0.1973,1.3708,0.01631,-0.0236
3.93,25.2,17.22,2.197,0.256,0.7065,0.00656,-0.0312
5.13,30.8,19.02,3.557,0.2,1.0172,0.00773,-0.0332
0.03,26.267,23.58,6.73,0.3307,0.7993,0.01228,-0.0029
8.49,37.2,18.78,-3.697,0.3893,0.734,0.00704,-0.0328
5.73,59.333,16.74,8.09,0.3333,1.317,0.00919,0.0136
1.95,23.6,13.62,1.743,0.1867,0.3882,0.00568,-0.0178
7.89,21.467,17.1,8.203,0.3707,1.3457,0.00725,-0.0737
1.11,48.667,13.5,11.037,0.3733,1.3625,0.01879,-0.0036
5.01,51.067,12.3,-4.603,0.4453,0.2631,0.00644,0.002
1.83,54.8,10.5,6.277,0.3093,1.0345,0.01087,0.0016
7.17,26.533,6.78,8.77,0.224,1.3494,0.007,-0.0559
7.95,25.467,12.9,9.563,0.4827,1.2244,0.00639,-0.0643
4.35,20.4,9.06,8.883,0.4987,1.3615,0.0112,-0.0438
7.41,47.067,7.38,-0.977,0.32,1.0215,0.00469,-0.0091
7.71,36.933,15.3,0.157,0.1307,0.9965,0.00573,-0.0312
8.19,34.8,19.86,-1.43,0.2533,0.8862,0.00641,-0.0379
0.21,54.0,13.14,10.13,0.4853,1.3163,0.02051,-0.0042
3.21,53.733,21.54,10.81,0.368,1.3747,0.01455,-0.0011
7.65,48.933,13.86,7.297,0.2187,1.3232,0.00733,-0.0075
5.55,58.533,23.82,-2.677,0.28,0.6344,0.00657,0.0154
3.63,59.6,8.22,1.857,0.1493,0.8039,0.00621,0.0125
4.05,24.667,8.82,7.523,0.496,1.3489,0.01106,-0.035
2.55,23.067,15.78,2.083,0.304,0.5159,0.00637,-0.0226
8.79,34.0,16.86,11.717,0.4907,0.7961,0.00684,-0.0478
8.25,39.867,6.54,11.603,0.3653,0.9554,0.00547,-0.0297
6.63,41.2,6.9,7.183,0.1253,1.3719,0.00709,-0.0223
7.11,29.2,11.58,-4.717,0.2053,0.3012,0.00836,-0.0456
5.19,30.267,23.94,-4.83,0.1333,0.0744,0.01021,-0.0326
6.99,35.6,11.94,11.83,0.1413,1.2078,0.00694,-0.0376
3.99,43.867,10.26,-3.583,0.3253,0.1566,0.0062,-0.0065
4.89,31.867,9.42,7.41,0.4667,1.3622,0.01084,-0.0305
6.09,49.2,20.22,-2.79,0.3227,0.6279,0.00651,-0.0004
5.49,46.533,20.1,10.017,0.112,1.3178,0.01056,-0.0102
0.99,32.933,18.54,1.177,0.272,0.2653,0.00636,-0.0073
6.27,55.067,16.02,-2.563,0.1387,0.6938,0.00598,0.0126
5.31,33.2,13.38,4.237,0.16,1.1137,0.00731,-0.0308
2.97,57.2,6.06,4.803,0.3787,1.0952,0.00927,0.0034
8.73,57.467,6.3,2.877,0.4347,1.3234,0.00572,0.0183
5.91,20.933,14.82,10.923,0.2267,1.3479,0.00937,-0.0589
3.87,32.4,16.62,-2.903,0.104,0.1593,0.00666,-0.0206
7.35,41.467,17.34,6.843,0.1813,1.3649,0.00831,-0.0232
5.79,35.867,21.18,5.03,0.1147,1.2638,0.00931,-0.0277
4.59,48.133,6.42,-3.81,0.312,0.2639,0.00542,-0.002
2.19,26.0,15.42,0.383,0.4027,0.3103,0.0059,-0.0162
6.93,50.8,18.18,4.35,0.392,1.3797,0.00852,-0.0022
0.27,55.867,9.9,0.723,0.3493,0.1193,0.00577,0.0002
1.05,44.133,18.3,-1.543,0.4693,-0.0275,0.00668,-0.0013
1.53,21.733,12.54,6.957,0.1653,0.9227,0.01019,-0.0182
4.17,23.333,17.82,8.543,0.2507,1.3405,0.01274,-0.0391
3.09,27.067,11.22,-0.07,0.2747,0.3389,0.00552,-0.0217
0.15,47.333,23.7,1.97,0.4507,0.2595,0.0081,-0.0004
3.15,47.6,8.58,-1.77,0.448,0.2845,0.00495,-0.0024
0.87,58.0,11.46,9.45,0.1787,1.2167,0.016,-0.0026
8.31,46.8,19.26,6.163,0.4267,1.2715,0.00687,-0.01
2.49,49.733,23.1,5.37,0.2107,0.9914,0.01098,-0.0053
8.97,50.267,10.14,-1.997,0.376,1.202,0.00496,0.0005
4.47,51.867,8.34,-0.863,0.1893,0.5878,0.005,0.0019
4.95,52.133,14.58,8.43,0.1173,1.3732,0.0106,-0.0013
8.13,29.467,22.5,6.503,0.1627,1.3647,0.00834,-0.0541
4.71,28.133,16.38,11.15,0.3147,1.3365,0.01128,-0.0373
1.89,37.467,22.14,4.463,0.1467,0.7541,0.00905,-0.0092
6.15,48.4,7.62,8.997,0.2453,1.3233,0.0074,-0.0071
1.29,31.333,20.58,0.497,0.128,0.2342,0.0071,-0.0068
0.57,55.6,14.46,1.063,0.3467,0.2148,0.00643,0.0018
2.07,43.067,17.46,7.07,0.2933,1.0944,0.01282,-0.0081
8.61,41.733,14.1,-3.13,0.3013,0.8562,0.00625,-0.0235
6.69,22.0,18.06,2.99,0.2347,1.0429,0.00699,-0.0617
2.85,22.533,14.34,-0.75,0.4533,0.2524,0.00524,-0.0244
7.47,56.4,12.78,11.49,0.3547,0.8936,0.00521,0.0107
5.67,43.333,22.02,-0.297,0.144,0.7448,0.007,-0.0122
6.39,45.2,10.38,0.95,0.4107,1.1033,0.00589,-0.0104
7.23,27.867,21.9,-0.523,0.1573,0.7742,0.00703,-0.0501
6.03,49.467,20.82,2.31,0.2373,1.1853,0.00862,-0.0026
6.75,40.133,7.02,-0.637,0.216,0.8528,0.00434,-0.021
5.25,20.667,11.34,-3.243,0.3813,0.1797,0.00723,-0.0475
5.97,31.6,23.34,9.677,0.1093,1.3404,0.01049,-0.0367
7.05,51.6,18.66,7.863,0.4293,1.2583,0.00777,-0.0001
1.77,55.333,13.74,4.01,0.248,0.7252,0.00785,0.0023
5.07,28.4,9.3,-0.183,0.192,0.5746,0.00424,-0.0346
6.33,24.133,14.22,5.823,0.344,1.329,0.00811,-0.0538
8.55,35.333,17.7,-4.037,0.2667,0.6559,0.00689,-0.0389
5.43,37.733,22.86,9.903,0.176,1.3523,0.01064,-0.0245
1.47,35.067,19.74,0.27,0.3067,0.2102,0.0067,-0.0064
4.41,32.667,20.34,-2.11,0.4133,0.3351,0.00713,-0.0233
2.79,42.267,17.94,4.69,0.352,0.9507,0.00924,-0.0075
4.77,42.8,6.18,5.937,0.2827,1.3036,0.00979,-0.0139
4.83,33.733,7.14,5.71,0.3973,1.3019,0.00993,-0.0268
2.25,57.733,17.58,5.483,0.3947,1.0311,0.01177,0.0034
8.85,44.4,18.9,4.917,0.3573,1.315,0.00632,-0.0159
