chamber_pressure_bar,area_ratio,ambient_pressure_bar,chamber_temp_K,gamma,thrust_coeff_Cf,specific_impulse_s,exit_velocity_ms
34.25,24.688,0.00465,3062.5,1.3092,1.7531,293.7,2793.9
146.75,47.938,0.28168,3495.8,1.2958,1.7083,310.9,3108.6
163.25,8.562,0.02404,3212.5,1.2192,1.7099,304.4,2755.0
191.75,21.688,0.00823,3154.2,1.2158,1.8132,319.1,2975.0
158.75,29.938,0.24324,2629.2,1.2458,1.7707,281.2,2711.1
65.75,31.812,0.00482,2620.8,1.1925,1.8752,300.7,2819.2
160.25,23.938,0.00118,3104.2,1.2842,1.7554,304.3,2842.6
151.25,37.438,0.0038,3487.5,1.2692,1.806,331.4,3113.8
164.75,28.062,0.00966,2537.5,1.2592,1.7991,280.2,2632.2
184.25,38.188,0.39179,2720.8,1.2908,1.7257,276.2,2712.2
91.25,48.312,0.79555,2570.8,1.3075,1.3627,213.7,2639.0
139.25,19.812,0.00688,2820.8,1.2975,1.7438,283.9,2670.6
152.75,16.062,0.08403,3120.8,1.3292,1.703,288.8,2723.2
68.75,41.938,0.01581,2837.5,1.1758,1.9159,320.7,3020.9
44.75,48.688,0.87791,3129.2,1.3308,0.8179,139.5,2877.3
113.75,14.188,0.04061,3312.5,1.1808,1.7915,324.8,3001.0
143.75,34.812,0.65722,3470.8,1.2508,1.6763,304.2,3141.1
166.25,37.062,0.00222,2687.5,1.2275,1.8565,300.4,2814.2
97.25,13.062,0.81508,2945.8,1.3258,1.592,263.2,2618.0
122.75,20.188,0.00343,2895.8,1.2558,1.7695,295.8,2756.5
32.75,49.812,0.77197,2904.2,1.1992,0.7288,124.1,3038.3
112.25,11.938,0.00626,3037.5,1.2425,1.7379,298.6,2740.3
167.75,39.312,0.00211,3029.2,1.3342,1.7556,291.8,2798.1
182.75,22.062,0.02012,2712.5,1.3142,1.7313,277.2,2608.2
31.25,49.438,0.15333,2662.5,1.3458,1.5284,237.4,2637.8
22.25,14.938,0.00873,2737.5,1.1908,1.799,294.3,2721.0
137.75,7.812,0.06586,2545.8,1.2608,1.673,259.0,2394.8
125.75,26.562,0.03422,3387.5,1.1558,1.894,349.5,3239.9
59.75,33.312,0.01431,2520.8,1.2008,1.8685,290.0,2756.7
140.75,41.562,0.05367,3179.2,1.2308,1.8409,322.3,3078.4
52.25,27.688,0.00581,3045.8,1.2525,1.8105,307.6,2898.2
98.75,15.688,0.13377,2804.2,1.3325,1.6858,270.1,2570.8
82.25,13.812,0.00101,2587.5,1.1875,1.8006,288.8,2637.0
95.75,32.938,0.59803,2779.2,1.2758,1.5846,261.5,2766.3
119.75,42.688,0.04124,2770.8,1.2208,1.8545,303.3,2887.1
79.25,9.688,0.14398,3095.8,1.2792,1.6817,285.6,2672.7
121.25,43.812,0.16821,2845.8,1.2725,1.768,286.6,2844.1
71.75,34.062,0.10277,2829.2,1.2492,1.7877,290.7,2825.2
110.75,15.312,0.01238,2670.8,1.2358,1.7628,282.3,2630.2
77.75,45.688,0.00162,2912.5,1.2375,1.8342,310.9,2949.8
