alpha_deg,mach,reynolds,CL,CD,CM
-2.0,0.55,1000000,-0.2636,0.00605,-0.0031
-2.0,0.55,3000000,-0.261,0.00599,-0.0045
-2.0,0.62,1000000,-0.2776,0.0061,-0.0032
-2.0,0.62,3000000,-0.2816,0.00621,-0.0018
-2.0,0.68,1000000,-0.2953,0.00635,-0.0037
-2.0,0.68,3000000,-0.3082,0.00632,-0.0017
-2.0,0.72,1000000,-0.3159,0.00636,-0.0025
-2.0,0.72,3000000,-0.3279,0.0062,-0.0026
-2.0,0.75,1000000,-0.3265,0.00639,-0.0028
-2.0,0.75,3000000,-0.3334,0.00673,-0.0043
-2.0,0.78,1000000,-0.3472,0.006,-0.006
-2.0,0.78,3000000,-0.3576,0.00617,-0.0025
-2.0,0.81,1000000,-0.3686,0.00626,-0.0028
-2.0,0.81,3000000,-0.3822,0.00664,-0.004
-2.0,0.85,1000000,-0.4075,0.00749,-0.0035
-2.0,0.85,3000000,-0.41,0.00735,-0.0037
0.0,0.55,1000000,-0.0038,0.00521,-0.0045
0.0,0.55,3000000,0.003,0.0053,-0.0017
0.0,0.62,1000000,-0.0049,0.00506,-0.0032
0.0,0.62,3000000,0.0085,0.00561,-0.0032
0.0,0.68,1000000,0.0086,0.00546,-0.0054
0.0,0.68,3000000,-0.0032,0.00579,-0.0054
0.0,0.72,1000000,0.0002,0.0056,-0.0044
0.0,0.72,3000000,0.0043,0.00564,-0.0017
0.0,0.75,1000000,0.0037,0.00526,-0.0048
0.0,0.75,3000000,-0.005,0.00579,-0.0048
0.0,0.78,1000000,-0.0004,0.0058,-0.0051
0.0,0.78,3000000,-0.0018,0.00467,-0.0055
0.0,0.81,1000000,-0.0034,0.00567,-0.0035
0.0,0.81,3000000,-0.0001,0.00551,-0.0045
0.0,0.85,1000000,0.0065,0.00602,-0.0049
0.0,0.85,3000000,-0.0061,0.00593,-0.0048
2.0,0.55,1000000,0.2701,0.00611,-0.003
2.0,0.55,3000000,0.2631,0.00667,-0.0049
2.0,0.62,1000000,0.2765,0.00575,-0.0052
2.0,0.62,3000000,0.2908,0.00645,-0.0043
2.0,0.68,1000000,0.285,0.00659,-0.0044
2.0,0.68,3000000,0.2988,0.00597,-0.005
2.0,0.72,1000000,0.3265,0.00598,-0.0055
2.0,0.72,3000000,0.3273,0.00614,-0.0054
2.0,0.75,1000000,0.3323,0.00599,-0.005
2.0,0.75,3000000,0.3276,0.00677,-0.0052
2.0,0.78,1000000,0.3643,0.00673,-0.004
2.0,0.78,3000000,0.3461,0.0065,-0.0051
2.0,0.81,1000000,0.3831,0.00757,-0.0047
2.0,0.81,3000000,0.3797,0.00885,-0.005
2.0,0.85,1000000,0.4085,0.02043,-0.0074
2.0,0.85,3000000,0.4132,0.0208,-0.0041
4.0,0.55,1000000,0.5217,0.00811,-0.0076
4.0,0.55,3000000,0.528,0.00804,-0.0052
4.0,0.62,1000000,0.568,0.0083,-0.0071
4.0,0.62,3000000,0.5673,0.00848,-0.0055
4.0,0.68,1000000,0.5943,0.00918,-0.0059
4.0,0.68,3000000,0.6084,0.0092,-0.0054
4.0,0.72,1000000,0.634,0.00996,-0.0058
4.0,0.72,3000000,0.6366,0.00912,-0.0046
4.0,0.75,1000000,0.6641,0.01024,-0.005
4.0,0.75,3000000,0.6667,0.00938,-0.0059
4.0,0.78,1000000,0.7026,0.01566,-0.0055
4.0,0.78,3000000,0.7115,0.0158,-0.0059
4.0,0.81,1000000,0.7441,0.03254,-0.0062
4.0,0.81,3000000,0.7521,0.03362,-0.0062
4.0,0.85,1000000,0.8192,0.08727,-0.0068
4.0,0.85,3000000,0.8302,0.08915,-0.0068
6.0,0.55,1000000,0.7881,0.012,-0.0089
6.0,0.55,3000000,0.7998,0.01098,-0.0071
6.0,0.62,1000000,0.8503,0.01183,-0.0048
6.0,0.62,3000000,0.8442,0.012,-0.0075
6.0,0.68,1000000,0.8935,0.01278,-0.0073
6.0,0.68,3000000,0.9075,0.01195,-0.005
6.0,0.72,1000000,0.9474,0.01652,-0.0081
6.0,0.72,3000000,0.9593,0.01736,-0.0079
6.0,0.75,1000000,0.9861,0.02685,-0.0067
6.0,0.75,3000000,1.0088,0.02837,-0.0075
6.0,0.78,1000000,1.0422,0.05463,-0.0062
6.0,0.78,3000000,1.0646,0.05571,-0.0074
6.0,0.81,1000000,1.1263,0.10961,-0.0071
6.0,0.81,3000000,1.1304,0.11136,-0.0085
6.0,0.85,1000000,1.2248,0.24423,-0.0076
6.0,0.85,3000000,1.2333,0.24965,-0.0089
8.0,0.55,1000000,1.0439,0.0157,-0.0103
8.0,0.55,3000000,1.0588,0.01571,-0.0065
8.0,0.62,1000000,1.119,0.01716,-0.0084
8.0,0.62,3000000,1.1247,0.01661,-0.0065
8.0,0.68,1000000,1.2029,0.02101,-0.0047
8.0,0.68,3000000,1.2082,0.02151,-0.0077
8.0,0.72,1000000,1.2633,0.04128,-0.0066
8.0,0.72,3000000,1.2683,0.04163,-0.0076
8.0,0.75,1000000,1.3315,0.07703,-0.0105
8.0,0.75,3000000,1.328,0.08031,-0.0083
8.0,0.78,1000000,1.4045,0.13953,-0.0096
8.0,0.78,3000000,1.4037,0.14022,-0.008
8.0,0.81,1000000,1.4965,0.21103,-0.0089
8.0,0.81,3000000,1.5128,0.21095,-0.0093
8.0,0.85,1000000,1.6295,0.34176,-0.0113
8.0,0.85,3000000,1.6492,0.34245,-0.0095
