aspect_ratio,sweep_deg,taper_ratio,thickness_chord,CL_design,mach,CD_induced,CD_wave,CD_profile,LD_ratio
8.325,17.213,0.7288,0.1313,0.5947,0.8239,0.015905,0.012551,0.010721,15.181
14.375,21.262,0.5642,0.1738,1.0042,0.3784,0.037194,0.0,0.011991,20.418
10.075,34.312,0.4907,0.1273,0.9457,0.7029,0.039693,0.0,0.010394,18.882
14.675,36.788,0.8582,0.1077,0.8782,0.4031,0.028264,0.0,0.010234,22.813
10.575,28.913,0.9842,0.1457,0.7432,0.5984,0.023835,0.0,0.011458,21.059
11.075,20.812,0.5152,0.1033,0.4597,0.3756,0.008256,0.0,0.009872,25.362
5.675,37.238,0.7462,0.1763,0.6892,0.6039,0.033841,0.0,0.012266,14.949
5.125,34.538,0.5433,0.1258,0.8062,0.8019,0.047065,0.0,0.010709,13.955
8.225,30.038,0.7182,0.1522,0.9952,0.4829,0.048187,0.0,0.0113,16.73
7.225,16.538,0.7042,0.1187,0.8287,0.4416,0.035038,0.0,0.01022,18.312
11.825,22.838,0.9948,0.1128,0.3247,0.6011,0.004171,0.0,0.010492,22.149
13.525,26.213,0.8478,0.1552,0.8377,0.4251,0.024005,0.0,0.010597,24.211
11.425,8.662,0.8407,0.0848,0.7568,0.5736,0.022482,0.0,0.009464,23.688
8.825,19.688,0.9702,0.1242,0.5857,0.5571,0.01541,0.0,0.010571,22.546
12.925,5.062,0.4662,0.0892,0.8197,0.6699,0.024342,0.0,0.00947,24.245
13.375,0.787,0.9772,0.1087,1.1258,0.3316,0.044205,0.0,0.010178,20.7
7.275,9.787,0.5922,0.1482,1.1843,0.6946,0.080517,0.013875,0.011396,11.195
11.525,37.013,0.9107,0.1048,0.5363,0.5379,0.011426,0.0,0.010332,24.646
6.525,22.387,0.6098,0.1668,1.0582,0.8459,0.063112,0.140244,0.011983,4.914
5.175,12.037,0.9352,0.1452,0.4868,0.3041,0.017793,0.0,0.0107,17.083
12.975,30.262,0.7637,0.1512,0.4103,0.6781,0.005907,0.0,0.01155,23.5
5.775,37.913,0.5817,0.1432,0.5272,0.7304,0.019462,0.0,0.010659,17.504
7.125,3.263,0.8127,0.0948,0.7792,0.4526,0.031687,0.0,0.009716,18.821
11.325,17.438,0.9982,0.1442,0.9547,0.5681,0.034131,0.0,0.011164,21.079
14.325,2.138,0.4207,0.1402,0.9592,0.3894,0.031825,0.0,0.010623,22.598
13.125,15.412,0.9283,0.1138,0.7612,0.4636,0.020078,0.0,0.009747,25.524
7.375,43.312,0.6062,0.1608,0.7747,0.8294,0.033204,0.0,0.011558,17.308
10.525,0.562,0.5187,0.1713,1.0177,0.4306,0.043274,0.0,0.0122,18.347
5.275,6.413,0.4277,0.0858,1.0402,0.8156,0.073137,0.086195,0.009353,6.167
14.725,41.738,0.3262,0.1123,1.0267,0.6754,0.034812,0.0,0.009781,23.025
6.875,18.562,0.4103,0.1708,0.9232,0.8184,0.043047,0.059937,0.011683,8.052
11.125,28.238,0.3052,0.1733,0.6082,0.6726,0.015602,0.0,0.011504,22.439
5.625,11.363,0.8967,0.0932,0.8918,0.3399,0.047598,0.0,0.009486,15.622
